"City","State","Metro","Country","Lat","Lng"
"Bath","ME","Portland","Sagadahoc","43.910637","-69.8206"
"Bath","NC","Washington","Beaufort","35.477108","-76.81161"
"Baton Rouge","LA","Baton Rouge","East Baton Rouge","30.458282","-91.14032"
"Battle Creek","MI","Battle Creek","Calhoun","42.32115","-85.17971"
"Battle Ground","WA","Portland","Clark","45.78095","-122.53343"
"Battle Lake","MN","Fergus Falls","Otter Tail","46.280518","-95.71366"
"Battle Mountain","NV","","Lander","40.64213","-116.934265"
"Battlefield","MO","Springfield","Greene","37.115723","-93.37042"
"Baxter Springs","KS","","Cherokee","37.023674","-94.735504"
"Baxter","MN","Brainerd","Crow Wing","46.348362","-94.26864"
"Baxter","TN","Cookeville","Putnam","36.15367","-85.64359"
"Bay City","MI","Bay City","Bay","43.594467","-83.88886"
"Bay City","TX","Bay City","Matagorda","28.982756","-95.9694"
"Bay Minette","AL","Daphne","Baldwin","30.882963","-87.77305"
"Bay Saint Louis","MS","Gulfport","Hancock","30.308807","-89.33005"
"Bay Village","OH","Cleveland","Cuyahoga","41.484768","-81.92208"
"Bayfield","CO","Durango","La Plata","37.22556","-107.598114"
"Bayfield","WI","","Bayfield","46.81077","-90.81824"
"Bayonne","NJ","New York","Hudson","40.668713","-74.11431"
"Baytown","TX","Houston","Harris","29.735504","-94.977425"
"Bayville","NY","New York","Nassau","40.910656","-73.562065"
"Beachwood","NJ","New York","Ocean","39.939007","-74.19292"
"Beacon Falls","CT","New Haven","New Haven","41.442646","-73.06176"
"Beacon","NY","New York","Dutchess","41.504814","-73.96958"
"Bealeton","VA","Washington","Fauquier","38.583046","-77.76778"
"Bear","DE","Philadelphia","New Castle","39.62928","-75.658264"
"Beatrice","NE","Beatrice","Gage","40.265926","-96.74669"
"Beaufort","NC","Morehead City","Carteret","34.718216","-76.66382"
"Beaufort","SC","Hilton Head Island","Beaufort","32.43158","-80.66983"
"Beaumont","CA","Riverside","Riverside","33.929462","-116.97725"
"Beaumont","TX","Beaumont","Jefferson","30.080173","-94.12656"
"Beaver Dam","WI","Beaver Dam","Dodge","43.457767","-88.837326"
